# Frequency(THz) spec_cv(J/Kg.K.THz) cum_cv(J/Kg.K)
1.359978 16.617096 91.043609
1.363978 16.585564 91.461538
1.367978 16.547813 91.878809
1.371978 16.518871 92.295168
1.375978 16.511931 92.710677
1.379978 16.480259 93.125681
1.383978 16.453854 93.540325
1.387978 16.437744 93.954113
1.391978 16.415260 94.367420
1.395978 16.371577 94.780311
1.399978 16.330728 95.192367
1.403978 16.289014 95.603260
1.407977 16.234063 96.013173
1.411977 16.182729 96.421822
1.415977 16.136524 96.829176
1.419977 16.115386 97.235298
1.423977 16.109432 97.640535
1.427977 16.098834 98.045473
1.431977 16.076220 98.450223
1.435977 16.057463 98.854587
1.439977 16.040900 99.258383
1.443977 16.033273 99.661742
1.447977 16.031803 100.064779
1.451977 16.029165 100.467714
1.455977 16.036607 100.870606
1.459977 16.022104 101.273512
1.463977 16.018739 101.676420
1.467977 16.011467 102.078964
1.471976 15.998464 102.481476
1.475976 15.969135 102.883640
1.479976 15.958851 103.285390
1.483976 15.929573 103.686495
1.487976 15.890434 104.087257
1.491976 15.868585 104.487120
1.495976 15.852619 104.886180
1.499976 15.829355 105.284812
1.503976 15.799857 105.682955
1.507976 15.776251 106.080430
1.511976 15.766814 106.477215
1.515976 15.766718 106.873549
1.519976 15.756739 107.269792
1.523976 15.746617 107.665988
1.527976 15.738593 108.061871
1.531975 15.731141 108.457517
1.535975 15.699604 108.852877
1.539975 15.689231 109.247950
1.543975 15.686562 109.642349
1.547975 15.682841 110.036641
1.551975 15.672659 110.430843
1.555975 15.657368 110.824893
1.559975 15.641826 111.218608
1.563975 15.631270 111.611916
1.567975 15.611512 112.004895
1.571975 15.585333 112.397552
1.575975 15.558222 112.789596
1.579975 15.522109 113.180948
1.583975 15.495664 113.571534
1.587975 15.466280 113.961256
1.591975 15.435262 114.350341
1.595974 15.404427 114.738662
1.599974 15.382147 115.126108
1.603974 15.356739 115.512948
1.607974 15.303233 115.899230
1.611974 15.246776 116.284626
1.615974 15.216266 116.668535
1.619974 15.189872 117.051230
1.623974 15.158057 117.433316
1.627974 15.121469 117.814711
1.631974 15.102928 118.195225
1.635974 15.084022 118.574950
1.639974 15.045295 118.954291
1.643974 14.988989 119.332990
1.647974 14.959783 119.710448
1.651974 14.933228 120.086645
1.655974 14.911863 120.462287
1.659973 14.904022 120.837315
1.663973 14.894215 121.211870
1.667973 14.897837 121.586363
1.671973 14.884679 121.960712
1.675973 14.871090 122.335069
1.679973 14.873134 122.708992
1.683973 14.869238 123.082702
1.687973 14.861653 123.456469
1.691973 14.877244 123.830081
1.695973 14.887664 124.203742
1.699973 14.901812 124.577849
1.703973 14.905814 124.952187
1.707973 14.896684 125.326811
1.711973 14.904498 125.701348
1.715973 14.913451 126.075742
1.719972 14.925338 126.450443
1.723972 14.933647 126.825305
1.727972 14.943215 127.200531
1.731972 14.944961 127.575962
1.735972 14.977095 127.951565
1.739972 15.015787 128.327433
1.743972 15.047926 128.704321
1.747972 15.083239 129.082153
1.751972 15.116344 129.460786
1.755972 15.160449 129.840301
1.759972 15.219604 130.220748
1.763972 15.257336 130.602475
1.767972 15.285342 130.985504
1.771972 15.327455 131.369311
1.775972 15.390975 131.753973
1.779972 15.447055 132.139932
1.783971 15.492134 132.527469
1.787971 15.552184 132.916196
1.791971 15.593515 133.306279
1.795971 15.635971 133.697777
1.799971 15.688798 134.090216
1.803971 15.746454 134.483814
1.807971 15.797143 134.878831
1.811971 15.851054 135.275258
1.815971 15.905565 135.672955
1.819971 15.949138 136.072024
1.823971 15.979810 136.472345
1.827971 16.008557 136.873607
1.831971 16.054051 137.275589
1.835971 16.092475 137.678426
1.839971 16.134182 138.082406
1.843970 16.191311 138.487349
1.847970 16.238197 138.893429
1.851970 16.281475 139.301026
1.855970 16.335388 139.709688
1.859970 16.379007 140.119511
1.863970 16.415037 140.530634
1.867970 16.437773 140.942746
1.871970 16.463477 141.355615
1.875970 16.482251 141.769024
1.879970 16.491437 142.183046
1.883970 16.504477 142.597432
1.887970 16.523029 143.012062
1.891970 16.555284 143.427083
1.895970 16.595679 143.842729
1.899970 16.620011 144.259311
1.903970 16.649119 144.676745
1.907969 16.668068 145.094764
1.911969 16.673259 145.513356
1.915969 16.695236 145.932372
1.919969 16.706222 146.351658
1.923969 16.722423 146.771474
1.927969 16.736733 147.191540
1.931969 16.738053 147.612019
1.935969 16.737796 148.032703
1.939969 16.751030 148.453352
1.943969 16.756015 148.874157
1.947969 16.752281 149.295282
1.951969 16.741597 149.716378
1.955969 16.752043 150.137285
1.959969 16.767744 150.558134
1.963969 16.776393 150.979379
1.967969 16.793136 151.400921
1.971968 16.820751 151.822720
1.975968 16.853218 152.244996
1.979968 16.862548 152.668158
1.983968 16.864575 153.091891
1.987968 16.863004 153.515701
1.991968 16.873930 153.939542
1.995968 16.880373 154.363433
1.999968 16.878303 154.787611
2.003968 16.897369 155.211862
2.007968 16.916984 155.636255
2.011968 16.908262 156.061221
2.015968 16.915057 156.486340
2.019968 16.938138 156.911252
2.023968 16.952092 157.336630
2.027968 16.954931 157.762580
2.031967 16.956068 158.188691
2.035967 16.954755 158.614707
2.039967 16.956847 159.040848
2.043967 16.966051 159.466974
2.047967 16.975896 159.893247
2.051967 16.995242 160.319786
2.055967 17.010545 160.746660
2.059967 17.019350 161.174026
2.063967 17.010597 161.601672
2.067967 16.996728 162.029365
2.071967 16.990163 162.456725
2.075967 17.002871 162.883775
2.079967 17.002919 163.310904
2.083967 16.996949 163.738327
2.087967 16.997241 164.165594
2.091967 16.986647 164.592739
2.095966 16.958810 165.019816
2.099966 16.952688 165.446330
2.103966 16.966666 165.872429
2.107966 16.960961 166.298633
2.111966 16.959018 166.725022
2.115966 16.954942 167.151216
2.119966 16.946540 167.577395
2.123966 16.917571 168.003428
2.127966 16.898357 168.429020
2.131966 16.890138 168.853879
2.135966 16.879735 169.278455
2.139966 16.857923 169.702852
2.143966 16.822200 170.126836
2.147966 16.800823 170.550107
2.151966 16.781668 170.972596
2.155966 16.749462 171.394627
2.159965 16.715542 171.816019
2.163965 16.689456 172.236427
2.167965 16.652279 172.656191
2.171965 16.624043 173.075238
2.175965 16.588963 173.493382
2.179965 16.544550 173.910796
2.183965 16.516372 174.327184
2.187965 16.495123 174.742552
2.191965 16.471073 175.157372
2.195965 16.429120 175.571664
2.199965 16.386072 175.985137
2.203965 16.345704 176.397472
2.207965 16.291392 176.808786
