Frequency (THz), Spectral Heat Capacity (J/Kg/K/THz), Cumulative Heat Capacity (J/Kg/K)
6.559899999999999620e-01,1.202794399999999975e+01,2.005434400000000039e+01
6.599890000000000478e-01,1.214926200000000023e+01,2.035502699999999976e+01
6.639890000000000514e-01,1.226529299999999978e+01,2.065878299999999967e+01
6.679890000000000549e-01,1.238639399999999924e+01,2.096559600000000145e+01
6.719889999999999475e-01,1.251061400000000035e+01,2.127536699999999925e+01
6.759889999999999510e-01,1.261948899999999973e+01,2.158822999999999936e+01
6.799889999999999546e-01,1.272509900000000016e+01,2.190405600000000064e+01
6.839889999999999581e-01,1.282842300000000080e+01,2.222252699999999948e+01
6.879889999999999617e-01,1.291718299999999964e+01,2.254364699999999999e+01
6.919889999999999652e-01,1.301381600000000027e+01,2.286723200000000134e+01
6.959889999999999688e-01,1.309245100000000050e+01,2.319307399999999930e+01
6.999889999999999723e-01,1.317360599999999948e+01,2.352122699999999966e+01
7.039889999999999759e-01,1.325713000000000008e+01,2.385129099999999980e+01
7.079889999999999795e-01,1.334564499999999931e+01,2.418342499999999973e+01
7.119889999999999830e-01,1.344702900000000056e+01,2.451771499999999904e+01
7.159889999999999866e-01,1.353715500000000027e+01,2.485435800000000128e+01
7.199879999999999614e-01,1.361181900000000056e+01,2.519347499999999940e+01
7.239879999999999649e-01,1.368976499999999952e+01,2.553459499999999949e+01
7.279879999999999685e-01,1.377228099999999955e+01,2.587766900000000092e+01
7.319879999999999720e-01,1.386772700000000036e+01,2.622275499999999937e+01
7.359879999999999756e-01,1.395357699999999923e+01,2.657006300000000110e+01
7.399879999999999791e-01,1.403799700000000072e+01,2.691974300000000042e+01
7.439879999999999827e-01,1.412836399999999948e+01,2.727149899999999860e+01
7.479879999999999862e-01,1.420721299999999943e+01,2.762541999999999831e+01
7.519879999999999898e-01,1.426773400000000080e+01,2.798151899999999870e+01
7.559879999999999933e-01,1.432803499999999985e+01,2.833939799999999920e+01
7.599879999999999969e-01,1.439794099999999943e+01,2.869874400000000136e+01
7.639880000000000004e-01,1.446387200000000028e+01,2.905968400000000074e+01
7.679880000000000040e-01,1.454524200000000000e+01,2.942238100000000145e+01
7.719880000000000075e-01,1.461807400000000001e+01,2.978684700000000163e+01
7.759880000000000111e-01,1.469606899999999960e+01,3.015334199999999854e+01
7.799880000000000146e-01,1.478388999999999953e+01,3.052167499999999833e+01
7.839869999999999894e-01,1.485183999999999926e+01,3.089211099999999988e+01
7.879869999999999930e-01,1.490363600000000055e+01,3.126453499999999863e+01
7.919869999999999965e-01,1.496007600000000082e+01,3.163848700000000136e+01
7.959870000000000001e-01,1.503361499999999928e+01,3.201371199999999817e+01
7.999870000000000037e-01,1.510181399999999918e+01,3.239058800000000105e+01
8.039870000000000072e-01,1.516934200000000033e+01,3.276933900000000222e+01
8.079870000000000108e-01,1.524782100000000007e+01,3.314973899999999674e+01
8.119870000000000143e-01,1.531866499999999931e+01,3.353192500000000109e+01
8.159870000000000179e-01,1.538284100000000088e+01,3.391605100000000306e+01
8.199870000000000214e-01,1.543058199999999935e+01,3.430187000000000097e+01
8.239870000000000250e-01,1.547000799999999998e+01,3.468911700000000309e+01
8.279870000000000285e-01,1.549832999999999927e+01,3.507742600000000266e+01
8.319870000000000321e-01,1.553167400000000065e+01,3.546660800000000080e+01
8.359870000000000356e-01,1.557566500000000076e+01,3.585649899999999946e+01
8.399870000000000392e-01,1.561327499999999979e+01,3.624738299999999924e+01
8.439860000000000140e-01,1.565264400000000045e+01,3.663936400000000049e+01
