# T(K) Cv(J/cc.K) Cv(J/kg.K)
19.202743 0.233842 0.003051
19.229890 0.234290 0.003064
19.257037 0.234738 0.003077
19.284183 0.235185 0.003090
19.311330 0.235633 0.003103
19.338477 0.236080 0.003116
19.365624 0.236527 0.003129
19.392770 0.236974 0.003142
19.419917 0.237421 0.003156
19.447064 0.237867 0.003169
19.474211 0.238314 0.003182
19.501357 0.238760 0.003195
19.528504 0.239206 0.003209
19.555651 0.239652 0.003222
19.582798 0.240098 0.003236
19.609944 0.240543 0.003249
19.637091 0.240988 0.003263
19.664238 0.241433 0.003276
19.691384 0.241878 0.003290
19.718531 0.242323 0.003303
19.745678 0.242768 0.003317
19.772825 0.243212 0.003331
19.799971 0.243656 0.003344
19.827118 0.244100 0.003358
19.854265 0.244544 0.003372
19.881412 0.244987 0.003386
19.908558 0.245431 0.003400
19.935705 0.245874 0.003414
19.962852 0.246317 0.003428
19.989999 0.246760 0.003442
20.017145 0.247202 0.003456
20.044292 0.247645 0.003470
20.071439 0.248087 0.003484
20.098586 0.248529 0.003498
20.125732 0.248971 0.003512
20.152879 0.249412 0.003526
20.180026 0.249854 0.003541
20.207172 0.250295 0.003555
20.234319 0.250736 0.003569
20.261466 0.251177 0.003584
20.288613 0.251617 0.003598
20.315759 0.252058 0.003613
20.342906 0.252498 0.003627
20.370053 0.252938 0.003642
20.397200 0.253377 0.003656
20.424346 0.253817 0.003671
20.451493 0.254256 0.003686
20.478640 0.254695 0.003700
20.505787 0.255134 0.003715
20.532933 0.255573 0.003730
20.560080 0.256011 0.003745
20.587227 0.256450 0.003759
20.614373 0.256888 0.003774
20.641520 0.257326 0.003789
20.668667 0.257763 0.003804
20.695814 0.258201 0.003819
20.722960 0.258638 0.003834
20.750107 0.259075 0.003849
20.777254 0.259512 0.003865
20.804401 0.259948 0.003880
20.831547 0.260384 0.003895
20.858694 0.260821 0.003910
20.885841 0.261256 0.003925
20.912988 0.261692 0.003941
20.940134 0.262128 0.003956
20.967281 0.262563 0.003972
20.994428 0.262998 0.003987
21.021575 0.263433 0.004002
21.048721 0.263867 0.004018
21.075868 0.264301 0.004034
21.103015 0.264736 0.004049
21.130161 0.265169 0.004065
21.157308 0.265603 0.004080
21.184455 0.266037 0.004096
21.211602 0.266470 0.004112
21.238748 0.266903 0.004128
21.265895 0.267335 0.004144
21.293042 0.267768 0.004160
21.320189 0.268200 0.004175
21.347335 0.268632 0.004191
21.374482 0.269064 0.004207
21.401629 0.269496 0.004223
21.428776 0.269927 0.004240
21.455922 0.270358 0.004256
21.483069 0.270789 0.004272
21.510216 0.271220 0.004288
21.537362 0.271650 0.004304
21.564509 0.272080 0.004321
21.591656 0.272510 0.004337
21.618803 0.272940 0.004353
21.645949 0.273370 0.004370
21.673096 0.273799 0.004386
21.700243 0.274228 0.004403
21.727390 0.274657 0.004419
21.754536 0.275085 0.004436
21.781683 0.275513 0.004453
21.808830 0.275941 0.004469
21.835977 0.276369 0.004486
21.863123 0.276797 0.004503
21.890270 0.277224 0.004519
21.917417 0.277651 0.004536
21.944564 0.278078 0.004553
21.971710 0.278505 0.004570
21.998857 0.278931 0.004587
22.026004 0.279357 0.004604
22.053150 0.279783 0.004621
22.080297 0.280209 0.004638
22.107444 0.280634 0.004655
22.134591 0.281059 0.004672
22.161737 0.281484 0.004690
22.188884 0.281909 0.004707
22.216031 0.282333 0.004724
22.243178 0.282757 0.004742
22.270324 0.283181 0.004759
22.297471 0.283605 0.004776
22.324618 0.284028 0.004794
22.351765 0.284452 0.004811
22.378911 0.284875 0.004829
22.406058 0.285297 0.004846
22.433205 0.285720 0.004864
22.460351 0.286142 0.004882
22.487498 0.286564 0.004900
22.514645 0.286985 0.004917
22.541792 0.287407 0.004935
22.568938 0.287828 0.004953
22.596085 0.288249 0.004971
22.623232 0.288670 0.004989
22.650379 0.289090 0.005007
22.677525 0.289510 0.005025
22.704672 0.289930 0.005043
22.731819 0.290350 0.005061
22.758966 0.290769 0.005079
22.786112 0.291188 0.005097
22.813259 0.291607 0.005116
22.840406 0.292026 0.005134
22.867553 0.292444 0.005152
22.894699 0.292862 0.005171
22.921846 0.293280 0.005189
22.948993 0.293698 0.005207
22.976139 0.294115 0.005226
23.003286 0.294532 0.005244
23.030433 0.294949 0.005263
23.057580 0.295365 0.005282
23.084726 0.295782 0.005300
23.111873 0.296198 0.005319
23.139020 0.296613 0.005338
